lat,lng,site_name,dev_stat,label,status,lith,b_age,t_age,unit_name,map_source
33.70014,-84.87773,"No Name, Lot 77 2nd Dist.",Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
33.75344,-84.88553,Pine Mt. Mine,Past Producer,1,OK,plutonic: undivided granitic rocks,419.2,358.9,Devonian plutonic: undivided granitic rocks,7
33.64044,-84.76993,No Name,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.19183,-84.05821,Young Deer Creek,Past Producer,1,OK,paragneiss; paragneiss/metavolcanic gneiss,1600.0,1000.0,Mesoproterozoic crystalline metamorphic rocks,154
34.12933,-84.18601,Faver Mine,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.35573,-84.16931,Looper,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42093,-84.19711,Scott (Old Steele),Past Producer,1,OK,sedimentary rocks,1000.0,541.0,Neoproterozoic sedimentary rocks,154
34.37233,-84.14301,Kim Mori Mines,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.41403,-84.09991,Missing Link Mine,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.42513,-84.06241,Palmour,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.86682,-84.35551,Hackney Placer,Past Producer,1,OK,sedimentary,541.0,443.8,Cambrian-Ordovician sedimentary,7
